screen_name,followers,friends,total_tweets
Adina84363846,0,30,0
NoorSFazza,4,135,19
pankajlilhare,22,58,4
siguurd97,70,32,227
LukeBrodie13,0,24,0
SeanLazarus4,0,10,0
conito54427989,0,101,0
Matt62711493,0,37,0
matvile,134,660,965
Rob11221162,0,3,0
gototownsend,57,226,3281
misteatspizza,0,60,0
jose97985368,0,64,0
OmarTru22133887,0,10,0
briseyd33185056,0,6,0
JPf49SETlUF0U3K,3,55,0
arturmorgade,0,30,0
Houcin80369665,0,49,3
SingleDad30,216,618,4687
DaigreBrian,138,1104,825
DespiertaCuern1,0,21,1
RafayelTarasov,1,20,0
Jason01197572,5,42,0
danrangl,10,28,21
nomanshbbir,294,1489,173
ChadiSahraoui4,0,18,0
derrick79564983,0,25,0
KetanRajKR,49,497,10
Akram96862777,0,23,0
abdullahkrakoc,86,224,58
vicdelossantos,68,157,276
Jessica27522450,0,35,0
summer201915,6,487,0
trenton5659,1,83,45
pedroaea_,29,275,289
JasonSa226,3,70,0
brooksbarnett5,0,21,0
teoman_tpz,0,51,0
Camille82012763,1,34,0
NikolayJordi,0,66,0
arnievankerwel,17,175,68
JodyLyo18455244,0,4,0
JordanH16632424,1,27,0
JennyferGissel3,1,85,0
Kerbstat,66,382,914
Andrzej11921880,0,9,0
Petra17485139,0,58,0
martianlui,1,44,8
Nunyabizzness17,0,9,0
mthunzi_syanda,0,116,0
94942Theodor,0,101,1
wwwyq6633695142,0,28,0
wasilitch,103,707,1
thatweiye,0,7,0
Gustavo01388577,0,72,0
_swankfuck,4,37,0
AshBeeBeautiful,0,103,0
Junior79992805,0,42,0
itsajzooted,114,2233,56
Ronisha88258828,1,61,0
pikson7,0,18,0
DeadlyLamboo,0,13,0
JeffRuckman4,0,76,0
Deadtingsinjars,0,10,0
yMcAbdEUqMWyGHW,1,45,1
savasoz05,0,38,0
ZBIudR3zgjkecWa,0,40,0
gunitklaudyo,14,118,223
Tingui20071,0,118,0
TTVHades_,1,74,0
HurmanRebeca,0,3,0
KellyWe43740425,0,21,0
turkeyhunter98,129,507,228
alvaro_p88,0,32,0
Twits_all_good,31,135,81
DianeBr39114262,0,137,0
DandyReynoso,1,84,39
guizzo70,14,185,67
Brandon81562932,0,34,0
LittleBastou,13,70,4
VojtchTma2,0,62,0
MatthewsPlumbNC,6,27,51
JosephS31763924,0,8,1
tmwright82,129,2788,352
Dipanka86971345,0,34,0
GreatKhanHD,4662,163,681
MassimoLSalis1,0,6,0
Skunk243,1,12,0
sscott2501,0,6,6
Jeremy73603116,0,106,0
ext0jab28,21,261,38
JakobKronlage,0,13,0
PaulMosquera20,0,7,0
niraluka,3,93,1
bruno_hasc,3,425,42
IliaD98629572,0,6,0
lizmarilyn23,11,25,0
PeBaoBel,3,87,8
PhilMBCA,8,195,48
annacadden,44,114,0
medlima68370287,0,69,1
willRiv69652835,0,43,0
False75103744,0,9,0
Agon80858104,1,61,0
Jonas34701421,1,125,0
Dorothy0334,18,143,1
gnanarajjohn,33,299,22
Mini_Manolito,1,80,7
EnchoMuzo,1,55,0
AlatiTyler,3,208,1
Anastasios308,87,163,6587
EugeneA63010668,1,2,0
kasrasaki79,1,52,3
DeNovaMedia,1164,170,68
Gabriel78958000,1,21,0
GravityGodTV,444,3317,4112
grl_grenade,0,6,0
BaptisteCpk,21,123,5
Lucalevi6,0,3,0
Justus21169140,0,39,0
MarioLFC21,31,158,414
ConradJeanMich1,0,8,0
Russ_Boynton,10,52,13
Carolin57700995,0,15,0
BinhLe57101530,0,9,0
luca_luca47,1,48,3
asapgigio,1,37,0
Angel86695632,1,14,0
Real_Jeff_Lang,43,61,21
DanielF32320259,1,108,1
try2find34,0,7,0
rohith_areth,0,83,0
Patrick06562300,1,79,0
pumba_team,0,36,1
NEYZUWU2eDuNom,17,36,113
Estefan69743227,1,69,0
YdlynPierre1,8,220,0
MilesPurvin,0,6,0
WThoemmes,0,40,0
Elaine14245910,0,13,1
GavinStelzer,0,13,0
NRerisi,0,8,0
westside553,0,15,0
RyanJCatala,0,11,0
abe_eyo,0,3,0
Mohamed99743380,2,6,7
BillHumphreys13,0,11,0
Shawnet09166826,4,96,0
thepasta69,0,46,3
Kene07588030,2,45,0
alar04617173,0,98,0
Jmm97469559,0,60,0
TristanMelvin5,0,56,2
MICHAELNOGA17,0,24,0
Roxana74615001,1,107,0
osmanpatkavak,1,27,0
BlamarckJ,0,60,2
3291Hassan,42,188,15
jandie1505,0,13,1
KimParr08987295,2,35,2
wanmustafaaa,1,123,0
Catherine_143_,1,32,32
VillagerWitch,2,12,17
viralbuzznews1,1758,691,13152
EricaAamoth,430,1023,8523
wiktoria_pater,2,86,0
SMuhammed2007,4,96,3
ClaudiaPiccio10,0,33,0
Hempos1,1,86,0
Wittaya19126939,0,26,2
erenncpkn,123,198,173
4u2nvSkillz,5,109,0
CameronSmell,5,41,0
MrWhiteKyiv,0,16,1
Brandon_J84,43,67,111
Velascoic,172,322,10819
Destruccion16,0,9,1
ahmedov_deniz,2,58,0
MollyOBlack1,7,129,50
BrgZainab,3,54,17
SemiuToheeb5,432,1009,302
Samuel01021183,0,24,2
chy_yesh,1,12,9
lucas_castella,0,14,1
nqht01,20,803,105
johnsimintzis,174,1278,54
SarnTom,0,9,0
marioalv17,3,42,0
DeanShulton,0,36,1
walid_guesmia,1,59,7
Vegasta60733578,0,18,0
Ray43763342,0,27,0
CambioJames,0,6,1
SamuelV26168639,5,58,0
noah78041334,3,121,0
Dawid62494061,0,22,0
scottfarine1,0,35,1
shookaz2,0,42,0
Callen01966803,2,11,0
NerijusPaulikas,1,65,0
