,Topic 0 words,Topic 0 weights,Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights
0,heart,66.1,year,41.1,day,95.1,video,91.1,photo,24.0,performance,34.1,love,72.1,track,37.9,rt,55.0,yes,85.1
1,times,19.9,wait,39.0,hi,44.1,time,56.9,music,24.0,right,27.1,tysm,24.7,look,25.1,bb,28.1,episode,78.8
2,omg,15.1,see,22.1,friends,24.1,birthday,24.8,song,18.7,thank,21.0,story,19.8,years,18.1,season,27.1,mtv,42.1
3,masterpiece,10.1,rt,16.5,way,23.5,everything,23.1,repeat,18.1,rt,17.4,rt,17.5,harry,18.1,confirm,18.1,life,34.1
4,baby,10.1,home,9.3,wow,23.1,mood,17.7,things,15.6,chills,12.1,queen,17.1,time,12.3,premiere,13.1,pics,27.1
5,stan,9.9,work,9.1,today,18.4,feel,14.9,course,14.1,proud,12.1,weekend,15.8,thing,11.5,dad,11.1,cece,19.1
6,rt,9.9,congrats,8.1,correct,12.1,morning,13.1,carpet,13.1,song,11.0,end,12.1,album,11.3,party,10.9,tonight,18.8
7,songs,9.0,art,8.1,family,12.1,today,12.9,looks,13.1,night,10.0,choice,12.1,hey,9.1,mtv,9.5,please,13.1
8,nothing,7.1,pls,7.5,head,11.9,content,12.4,rt,12.6,artist,9.8,tweet,12.1,bops,8.1,gonna,8.1,tell,12.1
9,memories,7.0,enjoy,7.1,watch,11.6,song,12.0,taste,11.1,cover,8.1,playlists,9.1,everyone,7.7,mom,8.1,miss,11.7
